Location,Count
lakshadweep,2092
bihar,1922
himachal pradesh,1913
haryana,1885
arunachal pradesh,1863
gujarat,1856
uttar pradesh,1807
uttarakhand,1720
delhi,1712
madhya pradesh,1669
andaman and nicobar islands,1637
sikkim,1628
goa,1568
jharkhand,1529
nagaland,1509
daman and diu,1479
west bengal,1440
mizoram,1438
chhattisgarh,1431
assam,1430
meghalaya,1427
andhra pradesh,1403
maharashtra,1392
dadra and nagar haveli,1369
manipur,1365
tripura,1352
chandigarh,1349
tamil nadu,1308
odisha,1254
punjab,1229
rajasthan,1153
karnataka,1146
puducherry,1075
kerala,1053
telangana,992
